expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,cont_rating
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),117.1875,1130.740464,221.9020001,2643.615072,510.4830307,0,0,0.09185607,0.171881124,1153.214316,15.8484445,3.775920849,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,686.2806747,83.33684726,1747.326426,192.7066044,0.016689016,0.00794717,0.003355076,0.003619961,1002.913161,23.85661245,6.889473194,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1772.090306,95.31381307,3411.388926,55.728022,0.50059031,0.027932404,0.064487748,0.054627959,1279.934365,23.09851463,5.543245049,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1447.447839,81.26729297,3265.899853,63.77247497,0.371088544,0.077384662,0.003342823,0.004452221,1423.025013,46.07447684,18.84657229,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1113.942261,169.7342088,2694.504598,399.6505666,0.080012535,0.019707477,0.015387832,0.009172861,1184.862858,20.45711221,4.895735613,25
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1365.759485,153.9772821,2879.572561,226.348458,0,0,0.008963754,0.011597063,1208.445542,23.30561232,8.266064394,25
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1203.267968,156.6773238,2781.358276,164.8864428,0.098355877,0.035831683,0.007688324,0.00767088,1188.153285,25.34149879,7.22555507,25
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),117.1875,1165.597945,254.267425,2677.763526,476.2992898,0,0,0.045572173,0.031333629,1160.393607,18.80736017,5.422673505,25
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,460.3738721,88.91324706,1089.552239,310.0989468,0.024854453,0.006519691,0.000383778,0.000385077,876.9194133,25.02365558,7.594345764,30
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1351.629815,134.9931634,3502.873467,96.7714137,0.145720199,0.0497549,0.006593194,0.008436007,1418.847557,29.24828923,7.516549498,30
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1773.012877,325.5614954,3199.168777,374.9899325,0.501581448,0.280425244,0.046154536,0.007803529,1215.059893,18.02245368,6.410766036,30
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,832.57494,146.5209164,1986.390592,93.36488795,0.088463236,0.063584622,0.003229435,0.002366381,1017.595757,22.75048226,5.452794224,30
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,691.2175871,96.74344053,1831.448228,256.9211276,0.050998842,0.01679736,0.002186848,0.001976995,1031.483377,20.94756102,6.262777079,30
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,445.8849677,92.84826051,1026.161047,334.5904099,0.009815598,0.004207917,0.000350583,0.000359451,863.1993378,24.87267755,7.554141175,30
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,687.5006609,83.05949827,1751.874001,187.2363317,0.02110541,0.011731052,0.00335769,0.003653906,1002.555024,23.87531876,6.900406644,35
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1701.923343,233.2045805,3561.52552,365.7346816,0.532116205,0.227163329,0.006766857,0.045956422,1466.463538,28.02041652,6.287787019,35
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1655.3688,109.7542903,3294.16811,151.4880398,0.498448744,0.065877065,0.005820907,0.009849597,1309.749619,67.75485776,34.43363069,35
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1676.574602,116.7227262,3256.529851,146.6087206,0.363769531,0.028643581,0.075898536,0.016873309,1270.811483,18.18006289,4.962273546,35
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,596.5139786,112.9050851,1535.389459,313.3076048,0.051810909,0.019320609,0.000312352,0.000382752,970.7266649,26.62170329,8.248085906,35
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1059.382567,180.1424735,2442.039246,264.4307747,0.101085671,0.039975674,0.003316666,0.004864704,1130.10618,25.64465905,9.106128581,35
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,936.7662379,163.8176043,2451.317631,477.7308196,0.125558036,0.099141284,0.003998449,0.000776586,1042.547184,25.65697692,5.973560072,35
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1677.521634,307.1463806,3143.681703,392.7041804,0.363115713,0.104997813,0.082712844,0.019300863,1232.127333,17.59618116,5.862478951,35
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,916.254546,137.7577282,2417.74387,434.8451214,0.12555283,0.09856801,0.00240785,0.00143322,1046.205966,27.08809726,5.896371905,35
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,902.5556231,88.36456908,2289.054171,175.3839755,0.144507304,0.030786009,0.001758889,0.001622022,1100.28888,36.18323841,23.3302091,35
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1027.0877,189.0501444,2668.884928,557.8146359,0.110579566,0.080519472,0.001281821,0.000735834,1261.320871,25.88483533,6.892835306,40
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1177.786349,86.31959027,2297.84948,23.96042084,0.175032691,0.051417432,0.017105363,0.004688626,1028.314241,22.37814817,5.270044813,40
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1187.386963,145.3304023,2827.042244,188.0184478,0.080078125,0.023354999,0.022023806,0.014654721,1221.686801,20.01863775,5.500382392,40
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,550.388772,118.2884019,1332.889126,330.2002823,0.020640034,0.013065022,0.001778148,0.001632011,926.3738704,18.90766084,5.381804752,40
