,expression,rating,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/
650,(t|2)&(t^(((t&6)^(t^3))>>5)),5,58.59375,646.0369297,108.9084943,1642.982076,300.20293039999996,0.0041717329999999995,0.0030914809999999997,0.002776975,0.0030041509999999996,981.3492991,23.85324447,6.719949177999999,5,4,4,7,1,4,1,0,0,1,0,0,0,0,0,0,1,0,2,3,0,1,0,0,0
651,((t>>6)*((t&2)|(t>>7)))-(t&(((t%1)&3)>>(t^6))),5,58.59375,1055.107466,250.24406980000003,2009.619869,277.87591289999995,0.13131642300000002,0.071843332,0.012010118,0.0066351809999999995,1001.5811150000001,24.24307585,7.68069347,5,6,6,11,2,4,2,0,0,0,0,0,0,1,0,0,3,1,3,1,1,1,1,0,0
652,(t&((t*9)&(t>>7)))*(((t>>(t&10))&12)&(t|9)),30,58.59375,1362.728296,210.33344559999998,2957.18117,258.8748514,0.11501574199999999,0.057819355,0.005158974,0.004190926,1252.07322,25.27942295,5.61197849,5,5,6,10,0,9,1,0,1,0,0,0,0,0,0,0,2,2,5,0,0,1,0,0,0
653,((t>>4)>>((t*(t-1))&3))>>((t&4)*3),5,117.1875,1072.240855,243.3035543,2418.151986,576.1438022000001,0.185326159,0.083651942,0.001059885,0.001819729,1012.5732859999999,42.28362181,25.25447053,5,5,4,8,3,3,1,1,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,0,0
654,t*(((((t*10)*9)*(t&10))*(t>>(t^(t|8))))&11),5,117.1875,1590.408248,16.24089716,3405.7336090000003,56.82028829,0.093483475,0.00317487,0.0007617110000000001,0.000569769,1298.780785,99.20984348,8.008347832,6,5,6,10,1,9,1,0,1,0,0,0,0,0,0,0,1,5,2,1,0,1,0,0,0
655,((t&6)*((t*4)>>9))%(t+9),10,85.22727273,1230.838974,298.2445738,2477.745203,531.3782558,0.248555978,0.129188943,0.0015766329999999998,0.002745775,970.2046889000001,41.08490984,24.51650779,4,4,3,6,1,7,2,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,1,0
656,(((t>>(t>>6))|(t*7))>>7)&(((t+(t&4))>>3)*(t&(t>>6))),5,104.16666670000001,1508.158789,195.16851609999998,3218.191964,215.11891400000002,0.16292352400000001,0.10974360699999999,0.110189639,0.09832919400000001,1283.135853,16.38057627,5.209791784,5,6,7,12,1,5,1,0,0,1,0,0,0,0,0,0,5,2,3,0,0,1,0,1,0
657,((t*14)&13)>>(((t*15)*(t>>17))&((t*11)>>10)),0,78.125,1476.083526,274.04199689999996,2963.036381,190.630055,0.143117421,0.11677022599999999,0.002722862,0.0038999259999999997,1014.718832,35.11337951,30.57645763,4,6,4,9,0,13,2,1,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0,0
658,t|((((t*0)*2)^(t>>5))+(t>>(t*(t>>1)))),10,58.59375,646.7886814,95.91254988,1646.738406,255.76882310000002,0.0036824109999999996,0.003052435,0.002358209,0.002250924,983.4260036000001,24.07654408,7.026788442999999,5,4,6,9,2,2,2,0,0,0,0,0,1,0,0,0,3,3,0,1,0,1,0,1,0
659,(((t>>5)%2)&3)|((((t^3)>>5)^(((t*5)&(t|8))&3))*4),0,117.1875,654.3672682,73.68920954,1810.126266,150.4164275,0.0007298189999999999,0.00024619999999999997,0.003516225,0.002897341,1031.888929,27.87422056,18.97743642,6,9,4,12,3,4,1,0,0,0,0,0,1,0,0,0,2,2,3,2,1,2,0,0,0
660,(t-8)&((t^7)>>8),25,133.9285714,570.8018696,177.80160039999998,1416.0364470000002,555.5896076,0.003555395,0.003813322,0.00049986,0.001558133,934.9043337999999,30.81726309,9.539124722999999,3,3,2,4,2,7,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
661,t|((t+(t*(t+(t*9))))>>(((t>>(t&3))&6)|7)),5,58.59375,1741.168665,155.9466005,3273.345882,169.01202,0.251010919,0.027277882000000003,0.147509158,0.012103949,1244.418834,15.76212826,5.591135465,6,4,7,10,0,6,2,0,0,0,0,0,1,0,0,0,2,2,2,0,0,2,0,2,0
662,(t-(t>>4))-(((t*(t^1))>>(t>>(t|4)))&(t&4)),0,187.5,1118.8496949999999,106.51733429999999,2612.6066100000003,100.5737585,0.01315236,0.00039830599999999996,0.019739909,0.0051586340000000005,1180.727079,22.22104509,6.116117476,5,4,7,10,4,3,1,0,0,0,0,0,0,1,0,0,3,1,2,1,0,1,2,0,0
663,(t>>4)>>((t%3)*(((t&5)|5)^(t>>6))),5,117.1875,1259.302045,372.78209239999995,2671.691764,48.92122588,0.330154126,0.20513788600000002,0.000812162,0.00138823,1272.029121,37.43026584,24.52820467,5,5,4,8,1,4,1,1,0,0,0,0,0,0,0,0,3,1,1,1,1,1,0,0,0
664,t^((t*(t*4))>>((((t&(t*6))*((t*8)>>4))>>11)&((t>>6)*((t>>7)>>7)))),10,58.59375,1416.171799,248.36352259999998,3055.6286649999997,258.1112693,0.095201309,0.123129629,0.08947836599999999,0.077359043,1238.397931,22.20575073,18.23137668,7,8,8,15,3,6,2,0,0,0,1,0,0,0,0,0,6,6,2,1,0,0,0,0,0
665,(t>>8)&(t|7),35,117.1875,531.2185873999999,196.08186569999998,1283.640392,593.4056587,0.003310734,0.0035736659999999996,0.000320777,0.000983842,889.5801402000001,37.64494214,20.7253789,2,2,2,3,1,7,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
666,t^((t>>(t&((t&9)&((t&6)>>(t*6)))))|(t>>5)),10,58.59375,642.6229291,112.05149709999999,1625.3331560000001,318.2643879,0.0038646059999999996,0.0030400979999999998,0.002748064,0.0030028209999999997,979.4969973999999,23.9280665,6.974725114,7,4,7,10,0,6,1,0,0,0,1,0,0,0,0,0,3,1,4,1,0,1,0,0,0
667,((((t|10)&13)^13)^((t%8)|(t*13)))>>(((t%8)*12)&11),5,93.75,1680.271088,97.33592305,3011.0441100000003,204.4632259,0.28020993,0.008493719,0.004055475,0.007153858000000001,1134.4564699999999,49.38607919,23.03045969,5,8,4,11,2,11,2,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,0,0
668,t|((t*2)*((t>>7)&((t^(t>>5))^(t%2)))),15,187.5,1576.035368,152.69035300000002,3164.079158,255.1593463,0.198005855,0.058624728,0.13290612400000001,0.022283481,1247.558734,17.63791506,3.738624135,6,4,6,9,2,4,2,0,0,0,0,0,1,0,0,0,2,2,1,2,1,1,0,0,0
669,t&((((t>>5)|(((t>>(t-0))^3)>>(t+3)))|2)>>3),20,234.375,570.3869002,176.45894950000002,1412.188499,554.359616,0.003310734,0.0035736659999999996,0.00043269300000000005,0.001157845,935.0908153999999,30.19864566,9.515085653,8,6,5,10,1,2,1,0,0,1,0,0,0,0,0,0,4,0,1,1,0,2,1,1,0
670,(t>>5)>>(((t*3)^(((t*5)*4)&4))>>((t&8)|(t*(t&4)))),5,58.59375,888.6226529999999,344.885644,2147.921109,962.5579957,0.12342584,0.103702183,0.000439673,0.001165106,977.1715245999999,50.27052902,22.28561935,6,7,6,12,4,4,1,1,0,0,0,0,0,0,0,0,3,4,3,1,0,1,0,0,0
671,(t&8)-((t|10)*((((t|9)>>(t&7))*8)&((t>>6)|5))),40,58.59375,1832.8152100000002,88.36255369,3225.0633,85.66769682,0.420604844,0.089673158,0.08330981400000001,0.046377178,1229.354231,21.42221848,3.833453449,6,7,5,11,2,7,1,0,0,0,0,0,0,1,0,0,2,2,3,0,0,3,1,0,0
672,(t%((t>>7)|8))&((t>>5)>>(((t&7)^8)&(t-3))),30,117.1875,1159.561958,172.8363775,2682.519323,312.2685543,0.041690265,0.035838106,0.005182674,0.0032279609999999997,1211.508196,23.44550589,5.770699569,5,6,5,10,2,6,1,0,0,1,0,0,0,0,0,0,3,0,3,1,1,1,1,0,0
673,(t>>8)&(t+(((t|2)&(t^5))&(t%4))),15,234.375,559.4373289,181.57661330000002,1349.863406,562.9616379,0.0035335320000000003,0.003809846,0.00040080800000000006,0.001107462,928.1963739,29.21195821,9.28792202,5,4,5,8,3,4,2,0,0,1,0,0,0,0,0,0,1,0,3,1,1,1,0,1,0
